Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6309584392	13062.0332031250	2.9764969349	21333.9453125000	0.3000339443	19200.5507812500	21333.9453125000	19200.5507812500	9200.5507812500	613.5000000000	14.9968227893	19200.5507812500
0.6309700062	13032.1074218750	3.0015249252	21333.9453125000	0.2997019605	19200.5507812500	21333.9453125000	19200.5507812500	9200.5507812500	613.5000000000	14.9968227893	19200.5507812500
0.6309815819	13054.1884765625	3.0149521828	21333.9453125000	0.2999040470	19200.5507812500	21333.9453125000	19200.5507812500	9200.5507812500	613.5000000000	14.9968227893	19200.5507812500
0.6309931758	13038.3945312500	3.0389544964	21333.9453125000	0.3001805705	19200.5507812500	21333.9453125000	19200.5507812500	9200.5507812500	613.5000000000	14.9968227893	19200.5507812500
0.6310047393	13033.8486328125	3.0577247143	21333.9453125000	0.2999182537	19200.5507812500	21333.9453125000	19200.5507812500	9200.5507812500	613.5000000000	14.9968227893	19200.5507812500
0.6310163082	13041.3447265625	3.0600862503	21453.7695312500	0.2975095093	19308.3925781250	21453.7695312500	19308.3925781250	9308.3925781250	613.5000000000	15.1726040393	19308.3925781250
0.6310278820	13039.6386718750	3.0881240368	21453.7695312500	0.2974268439	19308.3925781250	21453.7695312500	19308.3925781250	9308.3925781250	613.5000000000	15.1726040393	19308.3925781250
0.6310394433	13019.4443359375	3.0989091396	21453.7695312500	0.2976348253	19308.3925781250	21453.7695312500	19308.3925781250	9308.3925781250	613.5000000000	15.1726040393	19308.3925781250
0.6310509269	13034.9111328125	3.1210081577	21453.7695312500	0.2978006937	19308.3925781250	21453.7695312500	19308.3925781250	9308.3925781250	613.5000000000	15.1726040393	19308.3925781250
0.6310626256	13052.2207031250	3.1400425434	21453.7695312500	0.2983044121	19308.3925781250	21453.7695312500	19308.3925781250	9308.3925781250	613.5000000000	15.1726040393	19308.3925781250
0.6310741881	13027.8056640625	3.1449167728	21477.3261718750	0.2968983044	19329.5935546875	21477.3261718750	19329.5935546875	9329.5935546875	613.5000000000	15.2071614583	19329.5935546875
0.6310857407	13028.9638671875	3.1606452465	21477.3261718750	0.2970832125	19329.5935546875	21477.3261718750	19329.5935546875	9329.5935546875	613.5000000000	15.2071614583	19329.5935546875
0.6310973068	13024.2041015625	3.1747879982	21477.3261718750	0.2971709143	19329.5935546875	21477.3261718750	19329.5935546875	9329.5935546875	613.5000000000	15.2071614583	19329.5935546875
0.6311089022	13037.4501953125	3.1817383766	21477.3261718750	0.2972101622	19329.5935546875	21477.3261718750	19329.5935546875	9329.5935546875	613.5000000000	15.2071614583	19329.5935546875
0.6311204848	13016.5468750000	3.2004408836	21477.3261718750	0.2971471878	19329.5935546875	21477.3261718750	19329.5935546875	9329.5935546875	613.5000000000	15.2071614583	19329.5935546875
0.6311320477	13051.7294921875	3.2123584747	21426.6523437500	0.2981848675	19283.9871093750	21426.6523437500	19283.9871093750	9283.9871093750	613.5000000000	15.1328233242	19283.9871093750
0.6311436090	13013.9091796875	3.2290720940	21426.6523437500	0.2978848790	19283.9871093750	21426.6523437500	19283.9871093750	9283.9871093750	613.5000000000	15.1328233242	19283.9871093750
0.6311551813	13022.2451171875	3.2386562824	21426.6523437500	0.2976742850	19283.9871093750	21426.6523437500	19283.9871093750	9283.9871093750	613.5000000000	15.1328233242	19283.9871093750
0.6311667696	13037.3955078125	3.2553162575	21426.6523437500	0.2982131151	19283.9871093750	21426.6523437500	19283.9871093750	9283.9871093750	613.5000000000	15.1328233242	19283.9871093750
0.6311783510	13032.4658203125	3.2630732059	21426.6523437500	0.2976976500	19283.9871093750	21426.6523437500	19283.9871093750	9283.9871093750	613.5000000000	15.1328233242	19283.9871093750
0.6311899018	13044.4160156250	3.2875201702	21511.3457031250	0.2964089470	19360.2111328125	21511.3457031250	19360.2111328125	9360.2111328125	613.5000000000	15.2570678611	19360.2111328125
0.6312014762	13023.7089843750	3.3032417297	21511.3457031250	0.2964827863	19360.2111328125	21511.3457031250	19360.2111328125	9360.2111328125	613.5000000000	15.2570678611	19360.2111328125
0.6312130653	13019.9316406250	3.3167631626	21511.3457031250	0.2961680778	19360.2111328125	21511.3457031250	19360.2111328125	9360.2111328125	613.5000000000	15.2570678611	19360.2111328125
0.6312246581	13019.2265625000	3.3315954208	21511.3457031250	0.2960729383	19360.2111328125	21511.3457031250	19360.2111328125	9360.2111328125	613.5000000000	15.2570678611	19360.2111328125
0.6312362307	13040.7871093750	3.3474366665	21511.3457031250	0.2965828225	19360.2111328125	21511.3457031250	19360.2111328125	9360.2111328125	613.5000000000	15.2570678611	19360.2111328125
0.6312477760	13031.2705078125	3.3651325703	21347.2421875000	0.2995402788	19212.5179687500	21347.2421875000	19212.5179687500	9212.5179687500	613.5000000000	15.0163292074	19212.5179687500
