Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6172736651	20.3491477966	-0.7060203552
0.6173315395	9.4480371475	0.5912321210
0.6173894029	4.1327314377	2.0191211700
0.6174472688	2.2801818848	2.7372641563
0.6175051493	1.8166087866	2.9400272369
0.6175630151	1.7456535101	2.9719471931
0.6176208762	1.8399741650	2.9295682907
0.6176787342	1.9094009399	2.8986427784
0.6177366045	1.9218062162	2.8931407928
0.6177945075	1.8956363201	2.9047560692
0.6178523791	1.8613637686	2.9200162888
0.6179102337	1.7953330278	2.9495732784
0.6179680986	1.6633958817	3.0092520714
0.6180259763	1.4800990820	3.0935535431
0.6180838405	1.3106266260	3.1729612350
0.6181417188	1.1577286720	3.2458317280
0.6181995784	1.0094051361	3.3176546097
0.6182574382	0.8534908891	3.3943750858
0.6183153081	0.7341220379	3.4539718628
0.6183731919	0.6819655299	3.4802484512
0.6184310619	0.6548109055	3.4939863682
0.6184889291	0.6303868890	3.5063765049
0.6185467877	0.6084703207	3.5175218582
0.6186046599	0.5571867228	3.5437023640
0.6186625594	0.5542644858	3.5451984406
0.6187204345	0.5765659809	3.5337924957
0.6187782947	2.3206920624	2.7200121880
0.6188361440	12.2494602203	0.1054530144
0.6188940250	8.5479459763	0.7803597450
0.6189518920	0.5726874471	3.5357742310
0.6190097789	0.5618198514	3.5413312912
0.6190676352	0.5591901541	3.5426769257
0.6191255201	0.5589824319	3.5427832603
0.6191833753	0.5591892600	3.5426774025
0.6192412474	0.5665187240	3.5389277935
0.6192991104	0.5589395761	3.5428051949
0.6193569914	0.5576524734	3.5434639454
0.6194148652	0.5566403866	3.5439820290
0.6194727198	0.5551240444	3.5447583199
0.6195305847	0.5543376207	3.5451610088
0.6195884515	0.5529953241	3.5458483696
0.6196463419	0.5457013845	3.5495851040
0.6197041974	0.5461647511	3.5493476391
0.6197620771	0.5507767200	3.5469846725
0.6198199509	0.5600939989	3.5422143936
0.6198778172	0.5627607703	3.5408499241
0.6199356849	0.5552716851	3.5446827412
0.6199935476	0.5536382794	3.5455191135
0.6200514258	3.0128984451	2.4363403320
0.6201092934	0.5482817888	3.5482628345
0.6201671674	0.5479341745	3.5484409332
0.6202250406	0.5484953523	3.5481534004
0.6202829025	0.5483464599	3.5482296944
0.6203407911	0.5486428738	3.5480778217
0.6203986695	0.5486871004	3.5480551720
0.6204565214	0.5487312675	3.5480325222
0.6205143950	0.5487312675	3.5480325222
0.6205722774	0.5484013557	3.5482015610
0.6206301484	0.5482426882	3.5482828617
0.6206880241	0.5483892560	3.5482077599
0.6207458899	0.5487252474	3.5480356216
0.6208037606	0.5485646725	3.5481178761
0.6208616245	0.5486949682	3.5480511189
0.6209194985	0.5488159657	3.5479891300
0.6209773819	0.5487726927	3.5480113029
0.6210352610	0.5486475229	3.5480754375
0.6210931355	0.5485246778	3.5481383801
0.6211510024	0.5485205054	3.5481405258
0.6212088672	0.5486065745	3.5480964184
0.6212667423	0.5489267111	3.5479323864
0.6213246261	0.5487205982	3.5480380058
0.6213824977	0.5486903191	3.5480535030
0.6214403735	0.5487545729	3.5480206013
0.6214982366	0.5488513708	3.5479710102
0.6215561100	0.5488815904	3.5479555130
0.6216139717	0.5488457680	3.5479738712
0.6216718544	0.5488601923	3.5479664803
0.6217297314	0.5486377478	3.5480804443
0.6217876131	0.5487010479	3.5480480194
0.6218454949	0.5486847162	3.5480563641
0.6219033362	0.5484827757	3.5481598377
0.6219612240	0.5483883023	3.5482082367
0.6220190880	0.5489434600	3.5479238033
0.6220769746	0.5486629009	3.5480675697
0.6221348398	0.5487205982	3.5480380058
0.6221927185	0.5489099622	3.5479409695
0.6222505821	0.5487834215	3.5480058193
0.6223084648	0.5487378240	3.5480291843
0.6223663405	0.5486130714	3.5480930805
0.6224242257	0.5489099622	3.5479409695
0.6224820692	0.5488555431	3.5479688644
0.6225399659	0.5486926436	3.5480523109
0.6225978122	0.5484837294	3.5481593609
0.6226557066	0.5485926270	3.5481035709
0.6227135974	0.5488839149	3.5479543209
0.6227714327	0.5488871932	3.5479526520
0.6228293160	0.5490370393	3.5478758812
0.6228871774	0.5690245032	3.5376465321
0.6229450680	5.1933174133	1.6669423580
0.6230029441	25.2135734558	-0.9472112060
0.6230607972	26.1396312714	-0.9806833267
0.6231186860	25.9381122589	-0.9736753106
